,45226
8.71,1
8.72,3
8.74,23
8.77,14
8.79,138
8.8,4
8.84,2
8.85,1
8.87,8
8.89,1
8.9,6
8.95,4
8.99,1063
9.06,1
9.07,1
9.17,1
9.19,5
9.23,3
9.24,1
9.25,1
9.27,1
9.3,4
9.31,1
9.36,4
9.37,1
9.39,3
9.4,2
9.43,1
9.45,1
9.48,1
9.49,14
9.5,5
9.59,6
9.6,28
9.61,3
9.64,1
9.69,3
9.71,2
9.73,2
9.74,6
9.75,1017
9.79,13
9.8,2
9.88,1
9.89,19
9.9,13
9.95,33
9.96,3
9.99,4517
10.02,1
10.07,5
10.19,1
10.23,2
10.24,2
10.27,1
10.28,1
10.29,1
10.31,1
10.34,1
10.35,3
10.36,2
10.39,3
10.4,1
10.44,1
10.49,14
10.5,4
10.6,1
10.61,5
10.63,2
10.66,1
10.68,1
10.69,1
10.7,2
10.71,5
10.78,1
10.79,692
10.8,1
10.87,1
10.91,3
10.95,21
10.99,195
11.03,3
11.04,1
11.09,1
11.1,1
11.11,1
11.16,1
11.19,15
11.2,1
11.22,2
11.24,9
11.25,1
11.29,1
11.3,1
11.39,2
11.49,17
11.54,1
11.59,337
11.61,1
11.69,2
11.7,2
11.71,1
11.75,11
11.79,129
11.82,5
11.83,4
11.9,5
11.94,1
11.99,505
12.25,1
12.28,1
12.3,1
12.39,1
12.41,1
12.42,1
12.45,1
12.49,2157
12.5,7
12.57,4
12.59,10
12.7,1
12.74,3
12.79,136
12.8,5
12.85,1
12.89,1
12.9,2
12.95,18
12.99,461
13.06,1
13.11,1
13.13,1
13.19,1
13.25,1
13.26,1
13.29,208
13.3,2
13.31,7
13.35,1
13.39,1
13.43,6
13.49,22
13.5,5
13.55,1
13.57,2
13.59,5
13.62,1
13.65,3
13.78,1
13.79,57
13.8,1
13.86,1
13.9,1
13.95,3
13.98,1
13.99,600
14.06,1
14.19,1
14.2,1
14.24,2
14.25,1
14.27,2
14.31,3
14.38,2
14.39,1
14.49,20
14.5,1
14.6,1
14.62,5
14.67,1
14.69,4
14.79,480
14.8,1
14.9,2
14.95,41
14.99,1915
15.11,3
15.19,1
15.2,1
15.28,1
15.47,2
15.5,1
15.6,5
15.63,1
15.74,2
15.75,1
15.79,46
15.9,15
15.93,1
15.95,4
15.98,1
15.99,295
16.19,1
16.25,1
16.3,1
16.43,2
16.49,47
16.5,2
16.57,3
16.59,1
16.66,2
16.69,2
16.74,2
16.76,1
16.79,1971
16.8,1
16.83,1
16.95,1
16.99,201
17.09,1
17.24,3
17.26,1
17.31,1
17.33,1
17.39,2
17.45,1
17.49,47
17.5,4
17.55,2
17.58,1
17.59,1
