AppID,ProductType,ProductName,RequiredAge,ControllerSupport,Dlc,ShortDescription,FullGameAppID,FullGameName,SupportedLanguages,HeaderImage,Website,PcRequirementsMin,PcRequirementsMax,Developers,Publishers,Demo,Price,WindowsCompatible,MacCompatible,LinuxCompatible,MetacriticScore,AchievementCount,ReleaseDate,DRM,Categories,Genres
2310470,demo,"Fool's Gold: Dice, Death & Dating Demo",0,,"","Fool's Gold: Dice, Death &amp; Dating is a TTRPG-inspired dating adventure game in which you, a daring adventurer, dive into the world's deadliest jungle to get a hot date for the annual Bundariko Ball.",,"Fool's Gold: Dice, Death & Dating","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310470/header.jpg?t=1675868977,https://cryodon.games/foolsgold/,"Minimum:Requires a 64-bit processor and operating systemOS: Win 7 (64 bit)Processor: 2.2 GHzMemory: 4 GB RAMGraphics: DX10, DX11, DX12 capable.DirectX: Version 10Storage: 1 GB available space","Recommended:Requires a 64-bit processor and operating system","Cryodon Games","Cryodon Games",,"",true,false,false,,,"7 Feb, 2023",,"Single-player, Game demo",""
2310510,game,"Pixel Wars Playtest",0,,"","",,"","",https://cdn.akamai.steamstatic.com/steam/apps/2310510/header.jpg?t=1676655949,,"","","","",,"",true,false,false,,,"17 Feb, 2023",,"",""
2310530,music,"Fear Of Mine Soundtrack",0,,"","Fear of Mine - a visual novel in the genre of adventure and horror. This game will tell a linear but incredibly deep story in which the main characters fell under the influence of an alien mushroom creature. It seems to take over the whole world",,"Fear Of Mine","",https://cdn.akamai.steamstatic.com/steam/apps/2310530/header.jpg?t=1675798204,https://fearofmine.com,"Minimum:Storage: 50 MB available spaceStorage (high-quality audio): Additional 200 MB available space","","NVG Games, Vopilov Group","New Vektor Group",,"",true,true,true,,,"Coming soon",,"Additional High-Quality Audio",""
2310590,game,"Depths of Insanity",0,,"","3D First-Person Adventure with exploration and uncovering secrets of the areas surrounding your crash site.Collect all necessary materials to craft a temporary home and hopefully find a way to rebuild your Spacecraft and return home before it's too late.The Universe is in your hands!",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310590/header.jpg?t=1676971688,,"Minimum:OS: Windows 10Processor: Intel(R) Xeon(R) CPU E5-1620 v4 @ 3.50GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 970DirectX: Version 10Storage: 1300 MB available spaceSound Card: Yes","Recommended:OS: Windows 10Memory: 16 GB RAMGraphics: NVIDIA GeForce RTX 2060DirectX: Version 12Storage: 1300 MB available spaceSound Card: Stereo","Sloppy Joe Studios","Sloppy Joe Studios",,"",true,false,false,,,"28 Apr, 2023",,"Single-player, Steam Cloud","Action, Adventure, Indie, RPG"
2310610,game,"Vessel Blue",0,,"","In this free Survival-Horror game, you sit at a desk and solve puzzles using your computer while you're being hunted by a monster. You have to defend yourself, you cannot move; you are stuck to your chair!",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2310610/header.jpg?t=1678050979,,"Minimum:OS: Windows 10Processor: Intel Core i5Memory: 8 GB RAMGraphics: Nvidia GeForce GTX 1060Storage: 200 MB available spaceAdditional Notes: Developer's build. The game should work on any device.","Recommended:OS: Windows 10Processor: Intel Core i5Memory: 8 GB RAMGraphics: Nvidia GeForce GTX 1060Storage: 200 MB available spaceAdditional Notes: Developer's build. The game should work on any device.","Lukas Paveronschuetz","Lukas Paveronschuetz",,"",true,false,false,,,"Q1 2023",,"Single-player","Adventure, Casual, Free to Play, Indie"
2310650,demo,"No Name Village Demo",0,full,"","No Name Village is a top-down adventure game, set in a peaceful village that is at risk of being swallowed by the Black Sea. Follow our boy protagonist as he explores, fight off monsters, and uncovers the situation of the world around him.",,"No Name Village","",https://cdn.akamai.steamstatic.com/steam/apps/2310650/header.jpg?t=1675792365,,"Minimum:OS: Windows 7Processor: Intel Pentium Gold 4425YMemory: 8 GB RAMGraphics: Intel® UHD Graphics 615Storage: 500 MB available space","","PieMastah","PieMastah",,"",true,false,false,,,"2023",,"Game demo, Full controller support",""
2310660,game,"Dead eat dead",0,full,"","This is a retro style 2D pixel art survival adventure shooter. You control a character armed with a shotgun and grenades. You need to search level for supplies and keys to open locked doors. You can push and move boxes and fuel barrels located on game levels.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310660/header.jpg?t=1677951502,,"Minimum:OS: Windows 10Memory: 4 GB RAMStorage: 220 MB available space","","Five star apps","Five star apps",,"2,99€",true,false,false,,,"22 Feb, 2023",,"Single-player, Full controller support","Action, Adventure, Indie"
2310670,game,"Midnight Arrow",0,full,"","Hop on platforms and jump on walls to explore a vast immersive world. Discover different types of arrows and use them to solve puzzles and traverse this dimly lighted world.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310670/header.jpg?t=1677937323,,"Minimum:Memory: 1 GB RAMStorage: 100 MB available space","Recommended:Memory: 4 GB RAMStorage: 100 MB available space","Low Level Game Dev","Low Level Game Dev",,"",true,false,false,,,"Coming soon",,"Single-player, Full controller support","Adventure, Casual, Indie"
2310690,game,"Extra Lives",0,full,"","See how long you can survive in a world full of brainless zombies and heartless humans! Find your place among hundreds of other characters spread across several warring factions, and battle to reclaim every corner of a sprawling city in real-time.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310690/header.jpg?t=1677665262,http://www.MDickie.com,"Minimum:OS: Windows 7+Processor: 1gHzMemory: 2 GB RAMStorage: 60 MB available space","Recommended:OS: Windows 10+Processor: 2gHzMemory: 4 GB RAMStorage: 60 MB available space","MDickie","MDickie",,"2,99€",true,false,false,,,"1 Mar, 2023",,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support","Action, Adventure, Indie"
2310740,game,"Hero World",0,,"","This is Hero World, the new platform and turn-based game by QVIK GAMEZ! The barriers of time and space have been shattered. Creatures from a mystical realm have entered our world. Heroes from across the multiverse have emerged to stop the creatures of darkness.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2310740/header.jpg?t=1676076812,,"Minimum:OS: Windows 8Memory: 600 MB RAM","","QVIK GAMEZ","QVIK GAMEZ",,"",true,false,false,,,"To be announced",,"Single-player","Action, Adventure, RPG"
