AppID,ProductType,ProductName,RequiredAge,ControllerSupport,Dlc,ShortDescription,FullGameAppID,FullGameName,SupportedLanguages,HeaderImage,Website,PcRequirementsMin,PcRequirementsMax,Developers,Publishers,Demo,Price,WindowsCompatible,MacCompatible,LinuxCompatible,MetacriticScore,AchievementCount,ReleaseDate,DRM,Categories,Genres
1115360,dlc,"World of Guns VR: Texture Pack 1",0,,"","This DLC unlocks the package of the textures for PAINT mode. In the PAINT mode, user may change textures of the models, add stickers and patterns. For each model user may have 3 presets of the paints, this DLC unlocks 3 additional presets for each model.",,"World of Guns: VR","English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian",https://cdn.akamai.steamstatic.com/steam/apps/1115360/header.jpg?t=1589552413,http://noble-empire.com,"Minimum:OS: Windows 7, 8, 10Processor: Intel Core i5-4590/AMD FX 8350 equivalent or betterMemory: 4000 MB RAMGraphics: NVIDIA GeForce GTX 970, AMD Radeon R9 290 equivalent or betterNetwork: Broadband Internet connectionSound Card: anyAdditional Notes: Video Output: HDMI 1.4 or DisplayPort 1.2 or newer, USB Port: 1x USB 2.0 or greater port.","Recommended:OS: Windows 7, 8, 10Processor: CPU: Intel i5-4590 / AMD FX 8350 equivalent or greaterMemory: 4000 MB RAMGraphics: Video Card: NVIDIA GTX 1060 / AMD Radeon RX 480, equivalent or better.Network: Broadband Internet connectionSound Card: anyAdditional Notes: Video Output: HDMI 1.4 or DisplayPort 1.2 or newer, USB Port: 1x USB 2.0 or greater port.","Noble Empire Corp.","",,"3,99€",true,false,false,,,"15 May, 2020",,"Single-player, Downloadable Content, Steam Achievements, In-App Purchases","Free to Play, Simulation"
1115370,dlc,"World of Guns VR: Texture Pack 2",0,,"","This DLC unlocks package of the textures for PAINT mode.",,"World of Guns: VR","English, French, Italian, German, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian",https://cdn.akamai.steamstatic.com/steam/apps/1115370/header.jpg?t=1590065442,http://noble-empire.com,"Minimum:OS: Windows 7, 8, 10Processor: Intel Core i5-4590/AMD FX 8350 equivalent or betterMemory: 4000 MB RAMGraphics: NVIDIA GeForce GTX 970, AMD Radeon R9 290 equivalent or betterNetwork: Broadband Internet connectionSound Card: anyAdditional Notes: Video Output: HDMI 1.4 or DisplayPort 1.2 or newer, USB Port: 1x USB 2.0 or greater port.","Recommended:OS: Windows 7, 8, 10Processor: Intel Core i5-4590/AMD FX 8350 equivalent or betterMemory: 4000 MB RAMGraphics: Video Card: NVIDIA GTX 1060 / AMD Radeon RX 480, equivalent or better.Network: Broadband Internet connectionSound Card: anyAdditional Notes: Video Output: HDMI 1.4 or DisplayPort 1.2 or newer, USB Port: 1x USB 2.0 or greater port.","Noble Empire Corp.","",,"8,19€",true,false,false,,,"21 May, 2020",,"Single-player, Downloadable Content, Steam Achievements, In-App Purchases","Free to Play, Simulation"
1115380,game,"BallBoi",0,full,"","BallBoi is a marble plat-former with a focus on speed. Race against the clock to earn top times on 20 different levels with over 20 original songs!",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/1115380/header.jpg?t=1565290089,https://djfuller14.wixsite.com/ballboigame,"Minimum:OS: Windows 10 HomeProcessor: i7 Processor or equivalentMemory: 8 GB RAMGraphics: 6GB Graphics cardStorage: 8 GB available spaceSound Card: 7.1 Channel HD Audio with Nahimic audio enhancer","Recommended:OS: Windows 10 HomeProcessor: i7 Processor or equivalentMemory: 16 GB RAMGraphics: 8GB Graphics cardStorage: 8 GB available spaceSound Card: 7.1 Channel HD Audio with Nahimic audio enhancer","Daniel Fuller, Cameron Beattie","None",,"",true,false,false,,,"8 Aug, 2019",,"Single-player, Full controller support","Casual, Free to Play, Indie"
1115390,dlc,"Fantasy Grounds - The Chronicle of The Copper Crown (Symbaroum)",0,,"","The Chronicle of The Copper CrownA nation on the run. A homeland ravaged and barren. To stay would mean certain death. Going back is only considered by the foolish and those who have vowed to die on their native soil.",,"Fantasy Grounds Classic","English",https://cdn.akamai.steamstatic.com/steam/apps/1115390/header.jpg?t=1610400875,http://www.fantasygrounds.com,"Minimum:OS: Windows 7x , 8x or 10xProcessor: 1.6 GHz or higher processorMemory: 1 GB RAMGraphics: Graphics card recommendedDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 500 MB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts, Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.","Recommended:OS: Windows 7x , 8x or 10xProcessor: 2.0 GHz or higher processorMemory: 4 GB RAMGraphics: DirectX or OpenGL compatible card.DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 2 GB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts, Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.","SmiteWorks USA, LLC","",,"12,49€",true,true,false,,,"13 Aug, 2019",,"Multi-player, Co-op, Cross-Platform Multiplayer, Downloadable Content, Partial Controller Support","Indie, RPG, Strategy"
1115400,game,"Speed Mazing",0,full,"","Exciting racing party game for up to 4 players. Quick game sessions, hundreds of maps and eye-catching visuals. There's also a challenging speedrun mode for single player.",,"","English, Polish, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian",https://cdn.akamai.steamstatic.com/steam/apps/1115400/header.jpg?t=1640915961,,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 10Memory: 4 GB RAMGraphics: Intel UHD 620, AMD Radeon RX Vega 10 or equivalentDirectX: Version 11Storage: 400 MB available spaceSound Card: Yes. And some speakers too!Additional Notes: Intended for low quality settings and 720p resolution. Gamepads strongly recommended.","Recommended:Requires a 64-bit processor and operating systemOS: Windows 10Memory: 8 GB RAMGraphics: AMD Radeon RX Vega 8, Nvidia GeForce MX150 or equivalentDirectX: Version 11Storage: 400 MB available spaceSound Card: Definitely. With at least two good speakers, because we have STEREO sound here!Additional Notes: Intended for highest quality settings and 1080p resolution. Gamepads strongly recommended.","Piotr Zurek, Łukasz Leszczuk","Infinite Dreams",,"5,89€",true,false,false,,28,"21 Oct, 2021",,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on TV, Remote Play Together","Casual, Indie, Racing, Sports"
1115410,demo,"Discontinue Demo",0,,"","Discontinue is a competitive VR room-scale disc throwing game experience with over 0x2000 levels, your goal is to survive your chosen generated synthwave/cyberpunk style parkour and set a new high score. Are you up for this challenge?",,"Discontinue","English",https://cdn.akamai.steamstatic.com/steam/apps/1115410/header.jpg?t=1573843505,http://discontinue.online,"Minimum:OS: Windows 10Processor: Intel Core i5-4590 (AMD FX 8350) or betterMemory: 4 MB RAMGraphics: Nvidia GTX 1060 or equivalentDirectX: Version 11Storage: 150 MB available space","Recommended:OS: Windows 10Processor: Intel Core i7 Skylake or equivalentGraphics: Nvidia GTX 1060 or equivalentDirectX: Version 11Storage: 200 MB available space","PostBeta","PostBeta",,"",true,false,false,,,"9 Aug, 2019",,"Single-player, Game demo, VR Only","Action, Indie, Sports"
1115420,game,"Dickie A Cumming",0,,"","You play Dickie A. Cumming: a decorated war hero who must keep the women of a small island alive and satisfied while planning and executing a daring mission to rescue the one doctor who can save them in the game that has been described as the &quot;Grand Theft Auto&quot; of the erotic genre!",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/1115420/header.jpg?t=1650583719,,"Minimum:OS: Windows 7/8/8.1/10 (32bit/64bit)Processor: Intel Core2 Duo and 2.0GHz or betterMemory: 4 GB RAMGraphics: DirectX 9/OpenGL 4.1 capable GPUDirectX: Version 9.0Storage: 1 GB available space","Recommended:OS: Windows 7/8/8.1/10 (32bit/64bit)Processor: Intel Core2 Duo and 3.0GHz or betterMemory: 8 GB RAMGraphics: DirectX 9/OpenGL 4.1 capable GPU / NVIDIA GeForce GTX750 or betterDirectX: Version 9.0Storage: 1 GB available space","Julian Henley","Julian Henley",,"3,29€",true,false,false,,,"11 Jul, 2019",,"Single-player, Partial Controller Support","Action, RPG, Simulation"
1115440,dlc,"Fantasy Grounds - Starfinder RPG - Dawn of Flame AP 2: Soldiers of Brass (SFRPG)",0,,"","Starfinder RPG - Dawn of Flame AP 2: Soldiers of BrassHired GunsNow employees of the Deep Cultures Institute, the heroes are set to investigate what's happening in the sun. Burglars in the DCI museum throw that plan askew by stealing the institute's data.",,"Fantasy Grounds Classic","English",https://cdn.akamai.steamstatic.com/steam/apps/1115440/header.jpg?t=1562690827,http://www.fantasygrounds.com,"Minimum:OS: Windows 7x , 8x or 10xProcessor: 1.6 GHz or higher processorMemory: 1 GB RAMGraphics: Graphics card recommendedDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 500 MB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts, Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.","Recommended:OS: Windows 7x , 8x or 10xProcessor: 2.0 GHz or higher processorMemory: 4 GB RAMGraphics: DirectX or OpenGL compatible card.DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 2 GB available spaceSound Card: a sound card is required for voice communication using external programs like Google Hangouts, Skype or Discord.Additional Notes: Requirements vary by the add-ons installed and the number of players connecting to your game.","SmiteWorks USA, LLC","",,"18,99€",true,true,false,,,"9 Jul, 2019",,"Multi-player, Co-op, Cross-Platform Multiplayer, Downloadable Content, Partial Controller Support","Indie, RPG, Strategy"
1115450,game,"Bastide",0,,"","(Early Access game in alpha.) Bastide is a city-building strategy based in the 13th century where you must guide your village of peasants to thrive and survive against other villages, bandits, hunger, disease, and the cold so that they may grow into a fortified town.",,"","English*, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese*languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/1115450/header.jpg?t=1674917207,,"Minimum:OS: Windows 10 or higherProcessor: AMD Ryzen 3 2200 gMemory: 6 GB RAMGraphics: Nvidia GeForce 780 or HigherDirectX: Version 11Storage: 4 GB available space","Recommended:OS: Windows 10 or higherProcessor: AMD Ryzen 5 2600Memory: 8 GB RAMGraphics: Nvidia GeForce 970 or HigherDirectX: Version 12Storage: 4 GB available space","MedievalNexus","MedievalNexus",,"7,99€",true,false,false,,,"26 Feb, 2020",,"Single-player","Action, Casual, Indie, Simulation, Strategy, Early Access"
1115470,game,"Metronium",0,,"","You are in the Metronium, a realm of cyber space ruled by the Creator. You are known as the user, the chosen one and savior of the Drivers who have been inflicted by the Trojans. Fight through the horde of Trojans to complete your objectives and take down the father of the Trojans, the Creator.",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/1115470/header.jpg?t=1566437508,,"Minimum:OS: Windows 10Processor: Dual-CoreMemory: 25 MB RAMGraphics: HD Integrated GraphicsStorage: 7 MB available space","","Blake Pierce","Pierced Games",,"2,39€",true,false,false,,,"21 Aug, 2019",,"Single-player","Action, Indie"
